id,system_id,index,name,orbit,source_row_index,star_colour_code,world_type,atmosphere,temperature,biosphere,population,tech_level,government,notable_features,factions,tags
sys-0001-w01,sys-0001,1,Lictora,1,2,B,AgriWorld,Breathable,Cold,Nonexistent,Minimal,Low,ClansTribes,AncientArchive;BlindingMists;ChaosCultists,dire_avenger_shrines,atmosphere:breathable;biosphere:nonexistent;feature:ancient_archive;feature:blinding_mists;feature:chaos_cultists;gov:clans_tribes;population:minimal;star:blue_white;tech:low;temperature:cold;world_type:agri_world
sys-0001-w02,sys-0001,2,Zagoria Void,2,6,B,AgriWorld,Breathable,Temperate,Minimal,SoleSettlement,Low,EcclesiarchicalAppointee,CelestialPhenomena;BlindingMists;ArchaeotechRuins,marauders_chapter;forge_world_mars,atmosphere:breathable;biosphere:minimal;feature:archaeotech_ruins;feature:blinding_mists;feature:celestial_phenomena;gov:ecclesiarchical_appointee;population:sole_settlement;star:blue_white;tech:low;temperature:temperate;world_type:agri_world
sys-0001-w03,sys-0001,3,Hierophia Gloria,3,17,A,DeathWorld,Tainted,Hot,XenoHybrid,ExtremelyDense,XenoHybrid,Megacorporations,FactionalFragmentation;ExtremeEnvironment;EugenicCult,bio_ship_hive_tendrils;subjugators;imperial_intelligence_cadres,atmosphere:tainted;biosphere:xeno_hybrid;feature:eugenic_cult;feature:extreme_environment;feature:factional_fragmentation;gov:megacorporations;population:extremely_dense;star:white;tech:xeno_hybrid;temperature:hot;world_type:death_world
sys-0001-w04,sys-0001,4,Grim Supplica Tenebrae,4,6,B,AgriWorld,Breathable,Temperate,Minimal,SoleSettlement,Low,EcclesiarchicalAppointee,CelestialPhenomena;CivilWar;AncientTombs,heretek_explorators;data_looms_of_mars,atmosphere:breathable;biosphere:minimal;feature:ancient_tombs;feature:celestial_phenomena;feature:civil_war;gov:ecclesiarchical_appointee;population:sole_settlement;star:blue_white;tech:low;temperature:temperate;world_type:agri_world
sys-0001-w05,sys-0001,5,Tantalon,5,2,B,AgriWorld,Breathable,Cold,Nonexistent,Minimal,Low,ClansTribes,AncientArchive;AlteredHumans;ArchaeotechRuins,phoenix_conclave,atmosphere:breathable;biosphere:nonexistent;feature:altered_humans;feature:ancient_archive;feature:archaeotech_ruins;gov:clans_tribes;population:minimal;star:blue_white;tech:low;temperature:cold;world_type:agri_world
sys-0001-w06,sys-0001,6,Borealis,6,16,A,DeathWorld,Tainted,Hot,XenoHybrid,ExtremelyDense,High,MechanicusForgeLord,ExtremeEnvironment;FactionalFragmentation;EugenicCult,gorechosen_of_khorne;fire_angels;kronus_hegemony,atmosphere:tainted;biosphere:xeno_hybrid;feature:eugenic_cult;feature:extreme_environment;feature:factional_fragmentation;gov:mechanicus_forge_lord;population:extremely_dense;star:white;tech:high;temperature:hot;world_type:death_world
sys-0002-w01,sys-0002,1,Adamant Cathedris,1,8,A,AgriWorld,Breathable,Temperate,Thriving,LightlyPopulated,Standard,ExploratorAuthority,CivilWar;ArchaeotechRuins;AlteredHumans,puritan_inquisitors,atmosphere:breathable;biosphere:thriving;feature:altered_humans;feature:archaeotech_ruins;feature:civil_war;gov:explorator_authority;population:lightly_populated;star:white;tech:standard;temperature:temperate;world_type:agri_world
sys-0002-w02,sys-0002,2,Ivory Lorican,2,2,B,AgriWorld,Breathable,Cold,Nonexistent,Minimal,Low,ClansTribes,AncientArchive;CivilWar;CelestialPhenomena,valhallan_ice_warriors,atmosphere:breathable;biosphere:nonexistent;feature:ancient_archive;feature:celestial_phenomena;feature:civil_war;gov:clans_tribes;population:minimal;star:blue_white;tech:low;temperature:cold;world_type:agri_world
sys-0003-w01,sys-0003,1,Illiara,1,8,A,AgriWorld,Breathable,Temperate,Thriving,LightlyPopulated,Standard,ExploratorAuthority,CivilWar;AlteredHumans;ColdWar,vespid_stingwings,atmosphere:breathable;biosphere:thriving;feature:altered_humans;feature:civil_war;feature:cold_war;gov:explorator_authority;population:lightly_populated;star:white;tech:standard;temperature:temperate;world_type:agri_world
sys-0003-w02,sys-0003,2,Prosperis Extremis,2,6,B,AgriWorld,Breathable,Temperate,Minimal,SoleSettlement,Low,EcclesiarchicalAppointee,CelestialPhenomena;AlteredHumans;CivilWar,freeport_cartels;ruinous_shrine_keepers,atmosphere:breathable;biosphere:minimal;feature:altered_humans;feature:celestial_phenomena;feature:civil_war;gov:ecclesiarchical_appointee;population:sole_settlement;star:blue_white;tech:low;temperature:temperate;world_type:agri_world
sys-0003-w03,sys-0003,3,Choir Sanctora,3,5,B,AgriWorld,Breathable,Cold,Minimal,SoleSettlement,Low,Demagogue,BlindingMists;AlteredHumans;CelestialPhenomena,adeptus_astra_telepathica;tau_client_worlds,atmosphere:breathable;biosphere:minimal;feature:altered_humans;feature:blinding_mists;feature:celestial_phenomena;gov:demagogue;population:sole_settlement;star:blue_white;tech:low;temperature:cold;world_type:agri_world
sys-0003-w04,sys-0003,4,Reliquon Verge,4,8,A,AgriWorld,Breathable,Temperate,Thriving,LightlyPopulated,Standard,ExploratorAuthority,CivilWar;AlteredHumans;BlindingMists,ordo_astartes,atmosphere:breathable;biosphere:thriving;feature:altered_humans;feature:blinding_mists;feature:civil_war;gov:explorator_authority;population:lightly_populated;star:white;tech:standard;temperature:temperate;world_type:agri_world
sys-0004-w01,sys-0004,1,Narthax,1,11,A,BastionWorld,Thin,Temperate,Poisoned,DenselyPopulated,Standard,HereticalImperialCult,DaemonicCorruption;CrumblingArcologies;DangerousWildlife,fulgurite_electro_priests;mutant_warbands;the_unforgiven_fallen,atmosphere:thin;biosphere:poisoned;feature:crumbling_arcologies;feature:daemonic_corruption;feature:dangerous_wildlife;gov:heretical_imperial_cult;population:densely_populated;star:white;tech:standard;temperature:temperate;world_type:bastion_world
sys-0004-w02,sys-0004,2,Hagiara,2,5,B,AgriWorld,Breathable,Cold,Minimal,SoleSettlement,Low,Demagogue,BlindingMists;CivilWar;CelestialPhenomena,marines_errant;ironhead_squat_prospectors,atmosphere:breathable;biosphere:minimal;feature:blinding_mists;feature:celestial_phenomena;feature:civil_war;gov:demagogue;population:sole_settlement;star:blue_white;tech:low;temperature:cold;world_type:agri_world
sys-0004-w03,sys-0004,3,Frost Avitus Verge,3,6,B,AgriWorld,Breathable,Temperate,Minimal,SoleSettlement,Low,EcclesiarchicalAppointee,CelestialPhenomena;ArchaeotechRuins;ColdWar,freeblade_knights;tallarn_desert_raiders,atmosphere:breathable;biosphere:minimal;feature:archaeotech_ruins;feature:celestial_phenomena;feature:cold_war;gov:ecclesiarchical_appointee;population:sole_settlement;star:blue_white;tech:low;temperature:temperate;world_type:agri_world
sys-0004-w04,sys-0004,4,Sibylla,4,19,F,DeadWorld,Toxic,Boiling,XenoDominance,ExtremelyDense,Archaeotech,None,FlyingCities;FailedParadise;CivilWar,asuryani;void_reaver_bands;merchant_magnates,atmosphere:toxic;biosphere:xeno_dominance;feature:civil_war;feature:failed_paradise;feature:flying_cities;gov:none;population:extremely_dense;star:yellow_white;tech:archaeotech;temperature:boiling;world_type:dead_world
sys-0004-w05,sys-0004,5,Hilarion Rampart,5,8,A,AgriWorld,Breathable,Temperate,Thriving,LightlyPopulated,Standard,ExploratorAuthority,CivilWar;AncientArchive;ChaosCultists,plasmancer_courts,atmosphere:breathable;biosphere:thriving;feature:ancient_archive;feature:chaos_cultists;feature:civil_war;gov:explorator_authority;population:lightly_populated;star:white;tech:standard;temperature:temperate;world_type:agri_world
sys-0004-w06,sys-0004,6,Verbis Verge,6,4,B,AgriWorld,Breathable,Cold,Minimal,SoleSettlement,Low,CorruptAristocrats,ArchaeotechRuins;CivilWar;AncientArchive,adeptus_terra;spire_noble_cartels,atmosphere:breathable;biosphere:minimal;feature:ancient_archive;feature:archaeotech_ruins;feature:civil_war;gov:corrupt_aristocrats;population:sole_settlement;star:blue_white;tech:low;temperature:cold;world_type:agri_world
